ReshId;ShNavnInt;ShNavn;ReshIdTab;RHF;HF;Hospital;HealthUnitName;HealthUnitShortName;HealthUnitId;niva;KategoriTxt;IkkeMatch
4208078;NA;Hjertemedisinsk intensiv;4208078;Helse Midt-Norge;St. Olavs Hospital HF;St. Olav;St. Olavs Hospital;St. Olav;105;2b;Generell <50;sjekk ShNavn
4212166;Gjøvik;Gjøvik;108618;Helse Sør-Øst;Sykehuset Innlandet HF;Sykehuset Innlandet;Gjøvik;Gjøvik;192;2b;Generell <50;sjekk ShNavn og kategori/niva
108827;Hamar;Hamar;108610;Helse Sør-Øst;Sykehuset Innlandet HF;Sykehuset Innlandet;Hamar;Hamar;1010;2b;Generell <50;sjekk ShNavn og kategori/niva
4208976;KalnesØstf.;Kalnes/Østf.;4209889;Helse Sør-Øst;Sykehuset Østfold HF;Østfold;Kalnes;Kalnes;1011;2b;Generell <50;sjekk ShNavn og kategori/niva
4208977;KalnesØstf.;Kalnes/Østf.;4209889;Helse Sør-Øst;Sykehuset Østfold HF;Østfold;Kalnes;Kalnes;1011;2b;Generell <50;sjekk ShNavn og kategori/niva
4210742;Sandnessjøen;Sandnessjøen;103149;Helse Nord;Helgelandssykehuset HF;Helgelandssykehuset;Sandnessjøen;Sandnessjøen;1003;2b;Generell <50;sjekk ShNavn og kategori/niva
102428;Skien;Skien;102026;Helse Sør-Øst;Sykehuset Telemark HF;Telemark;Skien;Skien;1020;2b;Generell <50;sjekk ShNavn og kategori/niva
100082;Helse Bergen HF;;;;;;;;;;;sjekk ShNavn og kategori/niva
102673;Ålesund Med;;;Helse Midt-Norge;Helse Møre og Romsdal HF;Ålesund;Ålesund sjukehus;Ålesund;116;;;sjekk ShNavn og kategori/niva
106572;St. Olav Hjertemed;;;Helse Midt-Norge;St. Olavs Hospital HF;St. Olav;St. Olavs Hospital;St. Olav;105;;;sjekk ShNavn og kategori/niva
109877;Ullevål Hjerte-PO;;;Helse Sør-Øst;Oslo universitetssykehus HF;Oslo universitetssykehus;Ullevål;Ullevål;1007;;;sjekk ShNavn og kategori/niva
110867;Vesterål.Stokm.;;;Helse Nord;Nordlandssykehuset HF;Nordlandssykehuset;;;;;;sjekk ShNavn og kategori/niva
111449;Ullevål Barneint;;;Helse Sør-Øst;Oslo universitetssykehus HF;Oslo universitetssykehus;Ullevål;Ullevål;1007;3c;Barn;sjekk ShNavn og kategori/niva
700419;RH samlet;;;;;;;;;;;sjekk ShNavn og kategori/niva
700619;Tromsø Kir. int.;;;Helse Nord;Universitetssykehuset Nord-Norge HF;Tromsø;UNN Tromsø;Tromsø;108;;;sjekk ShNavn og kategori/niva
700620;Tromsø Postop;;;Helse Nord;Universitetssykehuset Nord-Norge HF;Tromsø;UNN Tromsø;Tromsø;108;;;sjekk ShNavn og kategori/niva
706032;St. Olav Thorax;;;Helse Midt-Norge;St. Olavs Hospital HF;St. Olav;St. Olavs Hospital;St. Olav;105;;;sjekk ShNavn og kategori/niva
4209764;Volda;;102836;Helse Midt-Norge;Helse Møre og Romsdal HF;Volda;Volda;Volda;4209764;2b;Generell <50;sjekk ShNavn og kategori/niva
102090;AHUS - Intensiv;AHUS - Intensiv;102090;Helse Sør-Øst;Akershus universitetssykehus HF;Ahus;Akershus universitetssykehus;Ahus;102;3;Generell >50;
4215368;AHUS - Kongsvinger;AHUS - Kongsvinger;4215368;Helse Sør-Øst;Akershus universitetssykehus HF;Kongsvinger;Kongsvinger;Kongsvinger;1068;2b;Generell <50;
4207303;AHUS - Med. Overvåkning;AHUS - Med overvåkning;4207303;Helse Sør-Øst;Akershus universitetssykehus HF;Ahus;Akershus universitetssykehus;Ahus;102;2b;Generell <50;
4205696;AHUS - Postop;AHUS - Postop;4205696;Helse Sør-Øst;Akershus universitetssykehus HF;Ahus;Akershus universitetssykehus;Ahus;102;1b;Postoperativ;
111487;Aker;Aker;111487;Helse Sør-Øst;Oslo universitetssykehus HF;Oslo universitetssykehus;Oslo universitetssykehus;Oslo universitetssykehus;101;1b;Postoperativ;
104450;Arendal;Arendal;104450;Helse Sør-Øst;Sørlandet sykehus HF;Sørlandet sykehus;Arendal;Arendal;1012;2b;Generell <50;
110111;NA;Barneintensiv;110111;Helse Sør-Øst;Oslo universitetssykehus HF;Oslo universitetssykehus;Ullevål;Ullevål;111449;1a;Overvaking;
4210053;Bodø;Bodø;4210053;Helse Nord;Nordlandssykehuset HF;Nordlandssykehuset;Bodø;Bodø;1006;2b;Generell <50;
